#    n         h                k                l
  1353  -0.61105669E+01  -0.19390458E-02   0.13430387E-02
  1354  -0.61109115E+01  -0.19377592E-02   0.13422234E-02
  1355  -0.61112548E+01  -0.19364741E-02   0.13414088E-02
  1356  -0.61115971E+01  -0.19351903E-02   0.13405949E-02
  1357  -0.61119382E+01  -0.19339081E-02   0.13397816E-02
  1358  -0.61122781E+01  -0.19326272E-02   0.13389690E-02
  1359  -0.61126170E+01  -0.19313478E-02   0.13381571E-02
  1360  -0.61129546E+01  -0.19300697E-02   0.13373458E-02
  1361  -0.61132912E+01  -0.19287931E-02   0.13365352E-02
  1362  -0.61136267E+01  -0.19275180E-02   0.13357252E-02
  1363  -0.61139610E+01  -0.19262442E-02   0.13349159E-02
  1364  -0.61142942E+01  -0.19249718E-02   0.13341073E-02
  1365  -0.61146263E+01  -0.19237009E-02   0.13332993E-02
  1366  -0.61149573E+01  -0.19224314E-02   0.13324920E-02
  1367  -0.61152872E+01  -0.19211632E-02   0.13316853E-02
  1368  -0.61156160E+01  -0.19198965E-02   0.13308793E-02
  1369  -0.61159437E+01  -0.19186312E-02   0.13300740E-02
  1370  -0.61162702E+01  -0.19173673E-02   0.13292693E-02
  1371  -0.61165957E+01  -0.19161048E-02   0.13284653E-02
  1372  -0.61169202E+01  -0.19148437E-02   0.13276619E-02
  1373  -0.61172435E+01  -0.19135840E-02   0.13268592E-02
  1374  -0.61175657E+01  -0.19123257E-02   0.13260572E-02
  1375  -0.61178869E+01  -0.19110688E-02   0.13252558E-02
  1376  -0.61182070E+01  -0.19098133E-02   0.13244551E-02
  1377  -0.61185260E+01  -0.19085591E-02   0.13236551E-02
  1378  -0.61188440E+01  -0.19073064E-02   0.13228557E-02
  1379  -0.61191609E+01  -0.19060550E-02   0.13220569E-02
  1380  -0.61194767E+01  -0.19048051E-02   0.13212589E-02
  1381  -0.61197915E+01  -0.19035565E-02   0.13204614E-02
  1382  -0.61201052E+01  -0.19023093E-02   0.13196647E-02
  1383  -0.61204179E+01  -0.19010635E-02   0.13188686E-02
  1384  -0.61207295E+01  -0.18998190E-02   0.13180732E-02
  1385  -0.61210401E+01  -0.18985760E-02   0.13172784E-02
  1386  -0.61213496E+01  -0.18973343E-02   0.13164843E-02
  1387  -0.61216581E+01  -0.18960940E-02   0.13156908E-02
  1388  -0.61219656E+01  -0.18948550E-02   0.13148980E-02
  1389  -0.61222720E+01  -0.18936175E-02   0.13141059E-02
  1390  -0.61225774E+01  -0.18923813E-02   0.13133144E-02
  1391  -0.61228818E+01  -0.18911464E-02   0.13125236E-02
  1392  -0.61231851E+01  -0.18899130E-02   0.13117334E-02
  1393  -0.61234875E+01  -0.18886809E-02   0.13109439E-02
  1394  -0.61237888E+01  -0.18874501E-02   0.13101551E-02
  1395  -0.61240891E+01  -0.18862207E-02   0.13093669E-02
  1396  -0.61243884E+01  -0.18849927E-02   0.13085794E-02
  1397  -0.61246867E+01  -0.18837660E-02   0.13077925E-02
  1398  -0.61249840E+01  -0.18825407E-02   0.13070063E-02
  1399  -0.61252803E+01  -0.18813168E-02   0.13062208E-02
  1400  -0.61255756E+01  -0.18800942E-02   0.13054359E-02
  1401  -0.61258699E+01  -0.18788729E-02   0.13046517E-02
  1402  -0.61261632E+01  -0.18776530E-02   0.13038681E-02
  1403  -0.61264555E+01  -0.18764345E-02   0.13030852E-02
  1404  -0.61267469E+01  -0.18752172E-02   0.13023029E-02
  1405  -0.61270372E+01  -0.18740014E-02   0.13015213E-02
  1406  -0.61273266E+01  -0.18727868E-02   0.13007404E-02
  1407  -0.61276150E+01  -0.18715736E-02   0.12999601E-02
  1408  -0.61279024E+01  -0.18703618E-02   0.12991804E-02
  1409  -0.61281889E+01  -0.18691513E-02   0.12984015E-02
  1410  -0.61284744E+01  -0.18679421E-02   0.12976231E-02
  1411  -0.61287590E+01  -0.18667343E-02   0.12968455E-02
  1412  -0.61290425E+01  -0.18655277E-02   0.12960685E-02
  1413  -0.61293252E+01  -0.18643226E-02   0.12952921E-02
  1414  -0.61296068E+01  -0.18631187E-02   0.12945164E-02
  1415  -0.61298876E+01  -0.18619162E-02   0.12937414E-02
  1416  -0.61301673E+01  -0.18607150E-02   0.12929670E-02
  1417  -0.61304462E+01  -0.18595151E-02   0.12921933E-02
  1418  -0.61307241E+01  -0.18583165E-02   0.12914202E-02
  1419  -0.61310010E+01  -0.18571193E-02   0.12906478E-02
  1420  -0.61312770E+01  -0.18559234E-02   0.12898761E-02
  1421  -0.61315521E+01  -0.18547288E-02   0.12891050E-02
  1422  -0.61318263E+01  -0.18535355E-02   0.12883345E-02
  1423  -0.61320995E+01  -0.18523435E-02   0.12875647E-02
  1424  -0.61323718E+01  -0.18511528E-02   0.12867956E-02
  1425  -0.61326432E+01  -0.18499635E-02   0.12860271E-02
  1426  -0.61329136E+01  -0.18487754E-02   0.12852592E-02
  1427  -0.61331832E+01  -0.18475887E-02   0.12844921E-02
  1428  -0.61334518E+01  -0.18464033E-02   0.12837255E-02
  1429  -0.61337196E+01  -0.18452191E-02   0.12829597E-02
  1430  -0.61339864E+01  -0.18440363E-02   0.12821945E-02
  1431  -0.61342523E+01  -0.18428548E-02   0.12814299E-02
  1432  -0.61345173E+01  -0.18416745E-02   0.12806660E-02
  1433  -0.61347815E+01  -0.18404956E-02   0.12799027E-02
  1434  -0.61350447E+01  -0.18393180E-02   0.12791401E-02
  1435  -0.61353070E+01  -0.18381416E-02   0.12783782E-02
  1436  -0.61355685E+01  -0.18369666E-02   0.12776168E-02
  1437  -0.61358290E+01  -0.18357928E-02   0.12768562E-02
  1438  -0.61360887E+01  -0.18346203E-02   0.12760962E-02
  1439  -0.61363475E+01  -0.18334492E-02   0.12753368E-02
  1440  -0.61366054E+01  -0.18322792E-02   0.12745781E-02
  1441  -0.61368625E+01  -0.18311106E-02   0.12738201E-02
  1442  -0.61371187E+01  -0.18299433E-02   0.12730627E-02
  1443  -0.61373740E+01  -0.18287772E-02   0.12723060E-02
  1444  -0.61376284E+01  -0.18276125E-02   0.12715499E-02
  1445  -0.61378820E+01  -0.18264490E-02   0.12707944E-02
  1446  -0.61381347E+01  -0.18252867E-02   0.12700396E-02
  1447  -0.61383866E+01  -0.18241258E-02   0.12692855E-02
  1448  -0.61386376E+01  -0.18229661E-02   0.12685320E-02
  1449  -0.61388877E+01  -0.18218077E-02   0.12677791E-02
  1450  -0.61391370E+01  -0.18206506E-02   0.12670269E-02
  1451  -0.61393855E+01  -0.18194947E-02   0.12662754E-02
  1452  -0.61396331E+01  -0.18183401E-02   0.12655245E-02
  1453  -0.61398798E+01  -0.18171868E-02   0.12647742E-02
  1454  -0.61401258E+01  -0.18160347E-02   0.12640246E-02
  1455  -0.61403709E+01  -0.18148839E-02   0.12632757E-02
  1456  -0.61406151E+01  -0.18137343E-02   0.12625274E-02
  1457  -0.61408585E+01  -0.18125860E-02   0.12617797E-02
  1458  -0.61411011E+01  -0.18114390E-02   0.12610327E-02
  1459  -0.61413429E+01  -0.18102932E-02   0.12602863E-02
  1460  -0.61415838E+01  -0.18091487E-02   0.12595406E-02
  1461  -0.61418240E+01  -0.18080054E-02   0.12587955E-02
  1462  -0.61420633E+01  -0.18068634E-02   0.12580511E-02
  1463  -0.61423018E+01  -0.18057226E-02   0.12573073E-02
  1464  -0.61425395E+01  -0.18045830E-02   0.12565642E-02
  1465  -0.61427763E+01  -0.18034448E-02   0.12558217E-02
  1466  -0.61430124E+01  -0.18023077E-02   0.12550798E-02
  1467  -0.61432477E+01  -0.18011719E-02   0.12543386E-02
  1468  -0.61434821E+01  -0.18000373E-02   0.12535981E-02
  1469  -0.61437158E+01  -0.17989040E-02   0.12528582E-02
  1470  -0.61439486E+01  -0.17977719E-02   0.12521189E-02
  1471  -0.61441807E+01  -0.17966411E-02   0.12513803E-02
  1472  -0.61444120E+01  -0.17955115E-02   0.12506423E-02
  1473  -0.61446425E+01  -0.17943831E-02   0.12499049E-02
  1474  -0.61448722E+01  -0.17932559E-02   0.12491682E-02
  1475  -0.61451011E+01  -0.17921300E-02   0.12484322E-02
  1476  -0.61453292E+01  -0.17910053E-02   0.12476968E-02
  1477  -0.61455566E+01  -0.17898818E-02   0.12469620E-02
  1478  -0.61457832E+01  -0.17887596E-02   0.12462279E-02
  1479  -0.61460090E+01  -0.17876386E-02   0.12454944E-02
  1480  -0.61462340E+01  -0.17865188E-02   0.12447615E-02
  1481  -0.61464583E+01  -0.17854002E-02   0.12440293E-02
  1482  -0.61466818E+01  -0.17842828E-02   0.12432978E-02
  1483  -0.61469045E+01  -0.17831667E-02   0.12425668E-02
  1484  -0.61471265E+01  -0.17820518E-02   0.12418366E-02
  1485  -0.61473477E+01  -0.17809380E-02   0.12411069E-02
  1486  -0.61475681E+01  -0.17798255E-02   0.12403779E-02
  1487  -0.61477878E+01  -0.17787142E-02   0.12396495E-02
  1488  -0.61480068E+01  -0.17776042E-02   0.12389218E-02
  1489  -0.61482250E+01  -0.17764953E-02   0.12381947E-02
  1490  -0.61484424E+01  -0.17753876E-02   0.12374683E-02
  1491  -0.61486591E+01  -0.17742812E-02   0.12367425E-02
  1492  -0.61488751E+01  -0.17731759E-02   0.12360173E-02
  1493  -0.61490903E+01  -0.17720718E-02   0.12352927E-02
  1494  -0.61493048E+01  -0.17709690E-02   0.12345688E-02
  1495  -0.61495186E+01  -0.17698673E-02   0.12338456E-02
  1496  -0.61497316E+01  -0.17687668E-02   0.12331229E-02
  1497  -0.61499439E+01  -0.17676676E-02   0.12324010E-02
  1498  -0.61501555E+01  -0.17665695E-02   0.12316796E-02
  1499  -0.61503663E+01  -0.17654726E-02   0.12309589E-02
  1500  -0.61505764E+01  -0.17643769E-02   0.12302388E-02
  1501  -0.61507858E+01  -0.17632824E-02   0.12295193E-02
  1502  -0.61509945E+01  -0.17621891E-02   0.12288005E-02
  1503  -0.61512024E+01  -0.17610970E-02   0.12280823E-02
  1504  -0.61514097E+01  -0.17600060E-02   0.12273648E-02
  1505  -0.61516162E+01  -0.17589163E-02   0.12266479E-02
  1506  -0.61518220E+01  -0.17578277E-02   0.12259316E-02
  1507  -0.61520272E+01  -0.17567403E-02   0.12252159E-02
  1508  -0.61522316E+01  -0.17556541E-02   0.12245009E-02
  1509  -0.61524353E+01  -0.17545690E-02   0.12237865E-02
  1510  -0.61526383E+01  -0.17534852E-02   0.12230728E-02
  1511  -0.61528406E+01  -0.17524025E-02   0.12223597E-02
  1512  -0.61530422E+01  -0.17513210E-02   0.12216472E-02
  1513  -0.61532431E+01  -0.17502406E-02   0.12209353E-02
  1514  -0.61534434E+01  -0.17491614E-02   0.12202241E-02
  1515  -0.61536429E+01  -0.17480834E-02   0.12195135E-02
  1516  -0.61538418E+01  -0.17470066E-02   0.12188035E-02
  1517  -0.61540400E+01  -0.17459309E-02   0.12180942E-02
  1518  -0.61542375E+01  -0.17448564E-02   0.12173855E-02
  1519  -0.61544343E+01  -0.17437830E-02   0.12166774E-02
  1520  -0.61546304E+01  -0.17427108E-02   0.12159699E-02
  1521  -0.61548259E+01  -0.17416398E-02   0.12152631E-02
  1522  -0.61550206E+01  -0.17405699E-02   0.12145569E-02
  1523  -0.61552148E+01  -0.17395012E-02   0.12138514E-02
  1524  -0.61554082E+01  -0.17384336E-02   0.12131464E-02
  1525  -0.61556010E+01  -0.17373672E-02   0.12124421E-02
  1526  -0.61557931E+01  -0.17363020E-02   0.12117384E-02
  1527  -0.61559846E+01  -0.17352379E-02   0.12110353E-02
  1528  -0.61561754E+01  -0.17341749E-02   0.12103329E-02
  1529  -0.61563655E+01  -0.17331131E-02   0.12096311E-02
  1530  -0.61565550E+01  -0.17320524E-02   0.12089299E-02
  1531  -0.61567438E+01  -0.17309929E-02   0.12082293E-02
  1532  -0.61569320E+01  -0.17299345E-02   0.12075294E-02
  1533  -0.61571195E+01  -0.17288773E-02   0.12068301E-02
  1534  -0.61573064E+01  -0.17278212E-02   0.12061314E-02
  1535  -0.61574926E+01  -0.17267662E-02   0.12054333E-02
  1536  -0.61576782E+01  -0.17257124E-02   0.12047359E-02
  1537  -0.61578632E+01  -0.17246597E-02   0.12040391E-02
  1538  -0.61580475E+01  -0.17236081E-02   0.12033429E-02
  1539  -0.61582312E+01  -0.17225577E-02   0.12026473E-02
  1540  -0.61584142E+01  -0.17215084E-02   0.12019523E-02
  1541  -0.61585966E+01  -0.17204602E-02   0.12012580E-02
  1542  -0.61587784E+01  -0.17194132E-02   0.12005643E-02
  1543  -0.61589596E+01  -0.17183673E-02   0.11998712E-02
  1544  -0.61591401E+01  -0.17173225E-02   0.11991787E-02
  1545  -0.61593200E+01  -0.17162789E-02   0.11984869E-02
  1546  -0.61594993E+01  -0.17152363E-02   0.11977956E-02
  1547  -0.61596779E+01  -0.17141949E-02   0.11971050E-02
  1548  -0.61598560E+01  -0.17131546E-02   0.11964150E-02
  1549  -0.61600334E+01  -0.17121154E-02   0.11957256E-02
  1550  -0.61602102E+01  -0.17110774E-02   0.11950369E-02
  1551  -0.61603864E+01  -0.17100404E-02   0.11943487E-02
  1552  -0.61605620E+01  -0.17090046E-02   0.11936612E-02
  1553  -0.61607370E+01  -0.17079699E-02   0.11929743E-02
  1554  -0.61609114E+01  -0.17069363E-02   0.11922880E-02
  1555  -0.61610852E+01  -0.17059038E-02   0.11916023E-02
  1556  -0.61612583E+01  -0.17048724E-02   0.11909172E-02
  1557  -0.61614309E+01  -0.17038421E-02   0.11902328E-02
  1558  -0.61616029E+01  -0.17028129E-02   0.11895490E-02
  1559  -0.61617743E+01  -0.17017848E-02   0.11888657E-02
  1560  -0.61619450E+01  -0.17007578E-02   0.11881831E-02
  1561  -0.61621152E+01  -0.16997320E-02   0.11875011E-02
  1562  -0.61622848E+01  -0.16987072E-02   0.11868198E-02
  1563  -0.61624539E+01  -0.16976835E-02   0.11861390E-02
  1564  -0.61626223E+01  -0.16966609E-02   0.11854588E-02
  1565  -0.61627901E+01  -0.16956395E-02   0.11847793E-02
  1566  -0.61629574E+01  -0.16946191E-02   0.11841004E-02
  1567  -0.61631241E+01  -0.16935998E-02   0.11834220E-02
  1568  -0.61632902E+01  -0.16925816E-02   0.11827443E-02
  1569  -0.61634557E+01  -0.16915644E-02   0.11820672E-02
  1570  -0.61636207E+01  -0.16905484E-02   0.11813907E-02
  1571  -0.61637850E+01  -0.16895335E-02   0.11807148E-02
  1572  -0.61639488E+01  -0.16885196E-02   0.11800396E-02
  1573  -0.61641121E+01  -0.16875068E-02   0.11793649E-02
  1574  -0.61642748E+01  -0.16864951E-02   0.11786908E-02
  1575  -0.61644369E+01  -0.16854845E-02   0.11780174E-02
  1576  -0.61645984E+01  -0.16844750E-02   0.11773446E-02
  1577  -0.61647594E+01  -0.16834665E-02   0.11766723E-02
  1578  -0.61649198E+01  -0.16824591E-02   0.11760007E-02
  1579  -0.61650797E+01  -0.16814528E-02   0.11753297E-02
  1580  -0.61652390E+01  -0.16804476E-02   0.11746593E-02
  1581  -0.61653978E+01  -0.16794435E-02   0.11739894E-02
  1582  -0.61655560E+01  -0.16784404E-02   0.11733202E-02
  1583  -0.61657136E+01  -0.16774384E-02   0.11726516E-02
  1584  -0.61658707E+01  -0.16764374E-02   0.11719836E-02
  1585  -0.61660273E+01  -0.16754375E-02   0.11713163E-02
  1586  -0.61661833E+01  -0.16744387E-02   0.11706495E-02
  1587  -0.61663388E+01  -0.16734410E-02   0.11699833E-02
  1588  -0.61664937E+01  -0.16724443E-02   0.11693177E-02
  1589  -0.61666481E+01  -0.16714487E-02   0.11686527E-02
  1590  -0.61668020E+01  -0.16704541E-02   0.11679883E-02
  1591  -0.61669553E+01  -0.16694606E-02   0.11673245E-02
  1592  -0.61671081E+01  -0.16684681E-02   0.11666614E-02
  1593  -0.61672603E+01  -0.16674767E-02   0.11659988E-02
  1594  -0.61674120E+01  -0.16664864E-02   0.11653368E-02
  1595  -0.61675632E+01  -0.16654971E-02   0.11646754E-02
  1596  -0.61677139E+01  -0.16645089E-02   0.11640147E-02
  1597  -0.61678640E+01  -0.16635217E-02   0.11633545E-02
  1598  -0.61680137E+01  -0.16625356E-02   0.11626949E-02
  1599  -0.61681628E+01  -0.16615505E-02   0.11620359E-02
  1600  -0.61683113E+01  -0.16605664E-02   0.11613775E-02
  1601  -0.61684594E+01  -0.16595834E-02   0.11607197E-02
  1602  -0.61686069E+01  -0.16586015E-02   0.11600625E-02
  1603  -0.61687540E+01  -0.16576206E-02   0.11594059E-02
  1604  -0.61689005E+01  -0.16566407E-02   0.11587499E-02
  1605  -0.61690465E+01  -0.16556619E-02   0.11580945E-02
  1606  -0.61691920E+01  -0.16546841E-02   0.11574397E-02
  1607  -0.61693370E+01  -0.16537074E-02   0.11567855E-02
  1608  -0.61694814E+01  -0.16527316E-02   0.11561319E-02
  1609  -0.61696254E+01  -0.16517570E-02   0.11554788E-02
  1610  -0.61697689E+01  -0.16507833E-02   0.11548264E-02
  1611  -0.61699119E+01  -0.16498107E-02   0.11541746E-02
  1612  -0.61700543E+01  -0.16488391E-02   0.11535233E-02
  1613  -0.61701963E+01  -0.16478685E-02   0.11528726E-02
  1614  -0.61703378E+01  -0.16468990E-02   0.11522226E-02
  1615  -0.61704788E+01  -0.16459305E-02   0.11515731E-02
  1616  -0.61706193E+01  -0.16449630E-02   0.11509242E-02
  1617  -0.61707593E+01  -0.16439966E-02   0.11502759E-02
  1618  -0.61708988E+01  -0.16430311E-02   0.11496282E-02
  1619  -0.61710378E+01  -0.16420667E-02   0.11489811E-02
  1620  -0.61711763E+01  -0.16411033E-02   0.11483345E-02
  1621  -0.61713144E+01  -0.16401409E-02   0.11476886E-02
  1622  -0.61714519E+01  -0.16391796E-02   0.11470432E-02
  1623  -0.61715890E+01  -0.16382192E-02   0.11463985E-02
  1624  -0.61717256E+01  -0.16372599E-02   0.11457543E-02
  1625  -0.61718618E+01  -0.16363016E-02   0.11451107E-02
  1626  -0.61719974E+01  -0.16353443E-02   0.11444677E-02
  1627  -0.61721326E+01  -0.16343880E-02   0.11438253E-02
  1628  -0.61722673E+01  -0.16334327E-02   0.11431834E-02
  1629  -0.61724015E+01  -0.16324784E-02   0.11425422E-02
  1630  -0.61725353E+01  -0.16315251E-02   0.11419015E-02
  1631  -0.61726686E+01  -0.16305729E-02   0.11412614E-02
  1632  -0.61728014E+01  -0.16296216E-02   0.11406219E-02
  1633  -0.61729338E+01  -0.16286714E-02   0.11399830E-02
  1634  -0.61730657E+01  -0.16277221E-02   0.11393447E-02
  1635  -0.61731971E+01  -0.16267738E-02   0.11387069E-02
  1636  -0.61733281E+01  -0.16258266E-02   0.11380698E-02
  1637  -0.61734586E+01  -0.16248803E-02   0.11374332E-02
  1638  -0.61735887E+01  -0.16239350E-02   0.11367972E-02
  1639  -0.61737183E+01  -0.16229908E-02   0.11361617E-02
  1640  -0.61738474E+01  -0.16220475E-02   0.11355269E-02
  1641  -0.61739761E+01  -0.16211052E-02   0.11348926E-02
  1642  -0.61741044E+01  -0.16201639E-02   0.11342589E-02
  1643  -0.61742321E+01  -0.16192236E-02   0.11336258E-02
  1644  -0.61743595E+01  -0.16182843E-02   0.11329933E-02
  1645  -0.61744864E+01  -0.16173459E-02   0.11323613E-02
  1646  -0.61746128E+01  -0.16164086E-02   0.11317299E-02
  1647  -0.61747389E+01  -0.16154722E-02   0.11310991E-02
  1648  -0.61748644E+01  -0.16145368E-02   0.11304689E-02
  1649  -0.61749895E+01  -0.16136024E-02   0.11298392E-02
  1650  -0.61751142E+01  -0.16126690E-02   0.11292102E-02
  1651  -0.61752385E+01  -0.16117366E-02   0.11285817E-02
  1652  -0.61753623E+01  -0.16108051E-02   0.11279537E-02
  1653  -0.61754857E+01  -0.16098746E-02   0.11273264E-02
  1654  -0.61756086E+01  -0.16089451E-02   0.11266996E-02
  1655  -0.61757311E+01  -0.16080166E-02   0.11260734E-02
  1656  -0.61758532E+01  -0.16070890E-02   0.11254478E-02
  1657  -0.61759748E+01  -0.16061624E-02   0.11248227E-02
  1658  -0.61760961E+01  -0.16052368E-02   0.11241982E-02
  1659  -0.61762169E+01  -0.16043121E-02   0.11235743E-02
  1660  -0.61763372E+01  -0.16033884E-02   0.11229509E-02
  1661  -0.61764572E+01  -0.16024657E-02   0.11223282E-02
  1662  -0.61765767E+01  -0.16015440E-02   0.11217059E-02
  1663  -0.61766958E+01  -0.16006232E-02   0.11210843E-02
  1664  -0.61768145E+01  -0.15997033E-02   0.11204632E-02
  1665  -0.61769328E+01  -0.15987845E-02   0.11198427E-02
  1666  -0.61770506E+01  -0.15978666E-02   0.11192228E-02
  1667  -0.61771681E+01  -0.15969496E-02   0.11186034E-02
  1668  -0.61772851E+01  -0.15960336E-02   0.11179846E-02
  1669  -0.61774017E+01  -0.15951186E-02   0.11173664E-02
  1670  -0.61775179E+01  -0.15942045E-02   0.11167487E-02
  1671  -0.61776337E+01  -0.15932914E-02   0.11161316E-02
  1672  -0.61777491E+01  -0.15923792E-02   0.11155151E-02
  1673  -0.61778641E+01  -0.15914680E-02   0.11148991E-02
  1674  -0.61779786E+01  -0.15905577E-02   0.11142837E-02
  1675  -0.61780928E+01  -0.15896484E-02   0.11136688E-02
  1676  -0.61782066E+01  -0.15887400E-02   0.11130546E-02
  1677  -0.61783199E+01  -0.15878326E-02   0.11124408E-02
  1678  -0.61784329E+01  -0.15869261E-02   0.11118277E-02
  1679  -0.61785455E+01  -0.15860205E-02   0.11112151E-02
  1680  -0.61786576E+01  -0.15851159E-02   0.11106030E-02
  1681  -0.61787694E+01  -0.15842123E-02   0.11099916E-02
  1682  -0.61788808E+01  -0.15833096E-02   0.11093806E-02
  1683  -0.61789918E+01  -0.15824078E-02   0.11087703E-02
  1684  -0.61791024E+01  -0.15815070E-02   0.11081605E-02
  1685  -0.61792126E+01  -0.15806070E-02   0.11075513E-02
  1686  -0.61793224E+01  -0.15797081E-02   0.11069426E-02
  1687  -0.61794318E+01  -0.15788100E-02   0.11063345E-02
  1688  -0.61795409E+01  -0.15779129E-02   0.11057269E-02
  1689  -0.61796495E+01  -0.15770168E-02   0.11051199E-02
  1690  -0.61797578E+01  -0.15761215E-02   0.11045134E-02
  1691  -0.61798657E+01  -0.15752272E-02   0.11039075E-02
  1692  -0.61799732E+01  -0.15743338E-02   0.11033022E-02
  1693  -0.61800803E+01  -0.15734414E-02   0.11026974E-02
  1694  -0.61801871E+01  -0.15725498E-02   0.11020932E-02
  1695  -0.61802935E+01  -0.15716592E-02   0.11014895E-02
  1696  -0.61803995E+01  -0.15707696E-02   0.11008864E-02
  1697  -0.61805051E+01  -0.15698808E-02   0.11002838E-02
  1698  -0.61806104E+01  -0.15689930E-02   0.10996818E-02
  1699  -0.61807152E+01  -0.15681060E-02   0.10990804E-02
  1700  -0.61808197E+01  -0.15672200E-02   0.10984795E-02
  1701  -0.61809239E+01  -0.15663349E-02   0.10978791E-02
  1702  -0.61810277E+01  -0.15654508E-02   0.10972793E-02
  1703  -0.61811311E+01  -0.15645675E-02   0.10966800E-02
  1704  -0.61812341E+01  -0.15636852E-02   0.10960813E-02
  1705  -0.61813368E+01  -0.15628037E-02   0.10954832E-02
  1706  -0.61814391E+01  -0.15619232E-02   0.10948856E-02
  1707  -0.61815410E+01  -0.15610436E-02   0.10942885E-02
  1708  -0.61816426E+01  -0.15601649E-02   0.10936920E-02
  1709  -0.61817439E+01  -0.15592871E-02   0.10930960E-02
  1710  -0.61818447E+01  -0.15584102E-02   0.10925006E-02
  1711  -0.61819453E+01  -0.15575342E-02   0.10919057E-02
  1712  -0.61820454E+01  -0.15566592E-02   0.10913114E-02
  1713  -0.61821452E+01  -0.15557850E-02   0.10907176E-02
  1714  -0.61822447E+01  -0.15549117E-02   0.10901244E-02
  1715  -0.61823438E+01  -0.15540393E-02   0.10895317E-02
  1716  -0.61824425E+01  -0.15531679E-02   0.10889395E-02
  1717  -0.61825409E+01  -0.15522973E-02   0.10883479E-02
  1718  -0.61826390E+01  -0.15514276E-02   0.10877569E-02
  1719  -0.61827367E+01  -0.15505588E-02   0.10871664E-02
  1720  -0.61828340E+01  -0.15496909E-02   0.10865764E-02
  1721  -0.61829310E+01  -0.15488239E-02   0.10859869E-02
  1722  -0.61830277E+01  -0.15479578E-02   0.10853981E-02
  1723  -0.61831240E+01  -0.15470926E-02   0.10848097E-02
  1724  -0.61832200E+01  -0.15462283E-02   0.10842219E-02
  1725  -0.61833156E+01  -0.15453649E-02   0.10836346E-02
  1726  -0.61834109E+01  -0.15445023E-02   0.10830479E-02
  1727  -0.61835059E+01  -0.15436406E-02   0.10824617E-02
  1728  -0.61836005E+01  -0.15427799E-02   0.10818760E-02
  1729  -0.61836948E+01  -0.15419200E-02   0.10812909E-02
  1730  -0.61837888E+01  -0.15410610E-02   0.10807063E-02
  1731  -0.61838824E+01  -0.15402028E-02   0.10801223E-02
  1732  -0.61839757E+01  -0.15393456E-02   0.10795388E-02
  1733  -0.61840687E+01  -0.15384892E-02   0.10789558E-02
  1734  -0.61841613E+01  -0.15376337E-02   0.10783734E-02
  1735  -0.61842536E+01  -0.15367791E-02   0.10777915E-02
  1736  -0.61843456E+01  -0.15359254E-02   0.10772101E-02
  1737  -0.61844372E+01  -0.15350725E-02   0.10766293E-02
  1738  -0.61845286E+01  -0.15342205E-02   0.10760490E-02
  1739  -0.61846196E+01  -0.15333694E-02   0.10754692E-02
  1740  -0.61847102E+01  -0.15325192E-02   0.10748900E-02
  1741  -0.61848006E+01  -0.15316698E-02   0.10743113E-02
  1742  -0.61848906E+01  -0.15308213E-02   0.10737331E-02
  1743  -0.61849803E+01  -0.15299736E-02   0.10731555E-02
  1744  -0.61850697E+01  -0.15291269E-02   0.10725784E-02
  1745  -0.61851588E+01  -0.15282810E-02   0.10720018E-02
  1746  -0.61852476E+01  -0.15274359E-02   0.10714257E-02
  1747  -0.61853360E+01  -0.15265917E-02   0.10708502E-02
  1748  -0.61854241E+01  -0.15257484E-02   0.10702752E-02
  1749  -0.61855120E+01  -0.15249060E-02   0.10697007E-02
  1750  -0.61855995E+01  -0.15240644E-02   0.10691268E-02
  1751  -0.61856867E+01  -0.15232236E-02   0.10685534E-02
  1752  -0.61857735E+01  -0.15223838E-02   0.10679805E-02
  1753  -0.61858601E+01  -0.15215447E-02   0.10674082E-02
  1754  -0.61859464E+01  -0.15207066E-02   0.10668363E-02
  1755  -0.61860323E+01  -0.15198693E-02   0.10662650E-02
  1756  -0.61861180E+01  -0.15190328E-02   0.10656942E-02
  1757  -0.61862033E+01  -0.15181972E-02   0.10651240E-02
  1758  -0.61862884E+01  -0.15173624E-02   0.10645543E-02
  1759  -0.61863731E+01  -0.15165285E-02   0.10639850E-02
  1760  -0.61864576E+01  -0.15156955E-02   0.10634164E-02
  1761  -0.61865417E+01  -0.15148633E-02   0.10628482E-02
  1762  -0.61866256E+01  -0.15140319E-02   0.10622805E-02
  1763  -0.61867091E+01  -0.15132014E-02   0.10617134E-02
  1764  -0.61867923E+01  -0.15123717E-02   0.10611468E-02
  1765  -0.61868753E+01  -0.15115429E-02   0.10605807E-02
  1766  -0.61869579E+01  -0.15107149E-02   0.10600152E-02
  1767  -0.61870403E+01  -0.15098877E-02   0.10594501E-02
  1768  -0.61871224E+01  -0.15090614E-02   0.10588856E-02
  1769  -0.61872041E+01  -0.15082360E-02   0.10583216E-02
  1770  -0.61872856E+01  -0.15074113E-02   0.10577581E-02
  1771  -0.61873668E+01  -0.15065875E-02   0.10571952E-02
  1772  -0.61874477E+01  -0.15057646E-02   0.10566327E-02
  1773  -0.61875283E+01  -0.15049425E-02   0.10560708E-02
  1774  -0.61876087E+01  -0.15041212E-02   0.10555093E-02
  1775  -0.61876887E+01  -0.15033007E-02   0.10549484E-02
