#    n         h                k                l
   100  -0.29652476E+01  -0.14316967E-01   0.89310967E-02
   101  -0.29705453E+01  -0.14176111E-01   0.88489681E-02
   102  -0.29758213E+01  -0.14037965E-01   0.87681548E-02
   103  -0.29810767E+01  -0.13902458E-01   0.86886292E-02
   104  -0.29863125E+01  -0.13769523E-01   0.86103640E-02
   105  -0.29915299E+01  -0.13639094E-01   0.85333328E-02
   106  -0.29967298E+01  -0.13511108E-01   0.84575097E-02
   107  -0.30019129E+01  -0.13385503E-01   0.83828699E-02
   108  -0.30070803E+01  -0.13262220E-01   0.83093886E-02
   109  -0.30122328E+01  -0.13141201E-01   0.82370423E-02
   110  -0.30173710E+01  -0.13022390E-01   0.81658076E-02
   111  -0.30224958E+01  -0.12905734E-01   0.80956619E-02
   112  -0.30276079E+01  -0.12791179E-01   0.80265832E-02
   113  -0.30327080E+01  -0.12678675E-01   0.79585500E-02
   114  -0.30377966E+01  -0.12568172E-01   0.78915413E-02
   115  -0.30428744E+01  -0.12459622E-01   0.78255367E-02
   116  -0.30479420E+01  -0.12352979E-01   0.77605163E-02
   117  -0.30529999E+01  -0.12248198E-01   0.76964606E-02
   118  -0.30580486E+01  -0.12145235E-01   0.76333507E-02
   119  -0.30630887E+01  -0.12044048E-01   0.75711680E-02
   120  -0.30681205E+01  -0.11944594E-01   0.75098946E-02
   121  -0.30731446E+01  -0.11846835E-01   0.74495128E-02
   122  -0.30781614E+01  -0.11750732E-01   0.73900054E-02
   123  -0.30831713E+01  -0.11656245E-01   0.73313557E-02
   124  -0.30881747E+01  -0.11563340E-01   0.72735474E-02
   125  -0.30931718E+01  -0.11471980E-01   0.72165644E-02
   126  -0.30981632E+01  -0.11382130E-01   0.71603911E-02
   127  -0.31031490E+01  -0.11293757E-01   0.71050124E-02
   128  -0.31081296E+01  -0.11206828E-01   0.70504134E-02
   129  -0.31131054E+01  -0.11121311E-01   0.69965795E-02
   130  -0.31180765E+01  -0.11037175E-01   0.69434967E-02
