# n            h                    k                    l
  192   -3.3560413417160   -7.5635546377588E-03   4.2403244056306E-03
  193   -3.3605110910097   -7.5279780507131E-03   4.2154314568377E-03
  194   -3.3649798113239   -7.4928157771449E-03   4.1908164199747E-03
  195   -3.3694474952756   -7.4580611992459E-03   4.1664755133773E-03
  196   -3.3739141348684   -7.4237078192261E-03   4.1424050222950E-03
  197   -3.3783797219272   -7.3897492794901E-03   4.1186012936918E-03
  198   -3.3828442473712   -7.3561793459180E-03   4.0950607404631E-03
  199   -3.3873077020925   -7.3229919044230E-03   4.0717798338317E-03
  200   -3.3917700758895   -7.2901809615176E-03   4.0487551100738E-03
  201   -3.3962313587102   -7.2577406489124E-03   4.0259831599729E-03
  202   -3.4006915393418   -7.2256652050170E-03   4.0034606372987E-03
  203   -3.4051506066922   -7.1939489834144E-03   3.9811842487667E-03
  204   -3.4096085490781   -7.1625864432814E-03   3.9591507578938E-03
  205   -3.4140653544530   -7.1315721576717E-03   3.9373569818626E-03
  206   -3.4185210104254   -7.1009008033638E-03   3.9157997910302E-03
  207   -3.4229755042575   -7.0705671474148E-03   3.8944761076221E-03
  208   -3.4274288225702   -7.0405660743913E-03   3.8733829065213E-03
  209   -3.4318809524620   -7.0108925482157E-03   3.8525172076888E-03
  210   -3.4363318796142   -6.9815416407685E-03   3.8318760859279E-03
  211   -3.4407815900543   -6.9525085119058E-03   3.8114566604206E-03
  212   -3.4452300697789   -6.9237884115411E-03   3.7912560956347E-03
  213   -3.4496773040530   -6.8953766813845E-03   3.7712716035972E-03
  214   -3.4541232779099   -6.8672687428888E-03   3.7515004422476E-03
  215   -3.4585679763258   -6.8394601088517E-03   3.7319399114383E-03
  216   -3.4630113841231   -6.8119463778170E-03   3.7125873536268E-03
  217   -3.4674534853615   -6.7847232145098E-03   3.6934401565880E-03
  218   -3.4718942644942   -6.7577863831043E-03   3.6744957458593E-03
  219   -3.4763337054736   -6.7311317089649E-03   3.6557515889477E-03
  220   -3.4807717923668   -6.7047550920807E-03   3.6372051912848E-03
  221   -3.4852085084294   -6.6786525318774E-03   3.6188541003579E-03
  222   -3.4896438379647   -6.6528200504594E-03   3.6006958954590E-03
  223   -3.4940777630227   -6.6272538025887E-03   3.5827282040201E-03
  224   -3.4985102674936   -6.6019499630467E-03   3.5649486792507E-03
  225   -3.5029413345199   -6.5769048015084E-03   3.5473550130308E-03
  226   -3.5073709464900   -6.5521146365815E-03   3.5299449367956E-03
  227   -3.5117990865729   -6.5275758621822E-03   3.5127162100695E-03
  228   -3.5162257368695   -6.5032849393315E-03   3.4956666317509E-03
  229   -3.5206508799571   -6.4792383786643E-03   3.4787940307293E-03
  230   -3.5250744986239   -6.4554327559319E-03   3.4620962665896E-03
  231   -3.5294965743860   -6.4318647168961E-03   3.4455712365720E-03
  232   -3.5339170899221   -6.4085309501392E-03   3.4292168625159E-03
  233   -3.5383360271799   -6.3854282093707E-03   3.4130311006623E-03
  234   -3.5427533676387   -6.3625533086286E-03   3.3970119387400E-03
  235   -3.5471690940615   -6.3399031011748E-03   3.3811573868877E-03
  236   -3.5515831870347   -6.3174745098145E-03   3.3654654952467E-03
  237   -3.5559956291109   -6.2952644988975E-03   3.3499343321219E-03
  238   -3.5604064014023   -6.2732700987193E-03   3.3345619995933E-03
  239   -3.5648154858161   -6.2514883729569E-03   3.3193466237428E-03
  240   -3.5692228635962   -6.2299164357594E-03   3.3042863601466E-03
  241   -3.5736285160822   -6.2085514641440E-03   3.2893793898494E-03
  242   -3.5780324249096   -6.1873906715971E-03   3.2746239182859E-03
  243   -3.5824345710736   -6.1664313139448E-03   3.2600181791851E-03
  244   -3.5868349358891   -6.1456707094426E-03   3.2455604288757E-03
  245   -3.5912335004896   -6.1251061972787E-03   3.2312489495740E-03
  246   -3.5956302465299   -6.1047351800064E-03   3.2170820445883E-03
  247   -3.6000251548429   -6.0845550883240E-03   3.2030580445875E-03
  248   -3.6044182060089   -6.0645634086598E-03   3.1891753045067E-03
  249   -3.6088093818630   -6.0447576661512E-03   3.1754321959211E-03
  250   -3.6131986632329   -6.0251354082249E-03   3.1618271178641E-03
  251   -3.6175860306939   -6.0056942474648E-03   3.1483584917300E-03
  252   -3.6219714658165   -5.9864318102708E-03   3.1350247564830E-03
  253   -3.6263549487867   -5.9673457863427E-03   3.1218243785183E-03
  254   -3.6307364617302   -5.9484338847619E-03   3.1087558355242E-03
  255   -3.6351159845890   -5.9296938532097E-03   3.0958176367452E-03
  256   -3.6394934989426   -5.9111234758238E-03   3.0830083032773E-03
  257   -3.6438689853994   -5.8927205882634E-03   3.0703263807039E-03
  258   -3.6482424245192   -5.8744830294697E-03   3.0577704345720E-03
  259   -3.6526137983521   -5.8564086979812E-03   3.0453390422581E-03
  260   -3.6569830869172   -5.8384955189325E-03   3.0330308096255E-03
  261   -3.6613502713418   -5.8207414385572E-03   3.0208443563229E-03
  262   -3.6657153324423   -5.8031444447043E-03   3.0087783212916E-03
  263   -3.6700782512834   -5.7857025673115E-03   2.9968313600128E-03
  264   -3.6744390091426   -5.7684138432688E-03   2.9850021454089E-03
  265   -3.6787975858946   -5.7512763625491E-03   2.9732893739533E-03
  266   -3.6831539639872   -5.7342882225827E-03   2.9616917469487E-03
  267   -3.6875081234876   -5.7174475606776E-03   2.9502079945026E-03
  268   -3.6918600460897   -5.7007525615440E-03   2.9388368547814E-03
  269   -3.6962097120962   -5.6842013956137E-03   2.9275770894993E-03
  270   -3.7005571029275   -5.6677923002074E-03   2.9164274708131E-03
  271   -3.7049021994707   -5.6515235104518E-03   2.9053867898711E-03
  272   -3.7092449833703   -5.6353933196617E-03   2.8944538488217E-03
  273   -3.7135854353527   -5.6194000142396E-03   2.8836274707080E-03
  274   -3.7179235370617   -5.6035419258857E-03   2.8729064880159E-03
  275   -3.7222592686552   -5.5878174042068E-03   2.8622897567108E-03
  276   -3.7265926126045   -5.5722248290400E-03   2.8517761355182E-03
  277   -3.7309235490449   -5.5567625904740E-03   2.8413645086741E-03
  278   -3.7352520599750   -5.5414291274071E-03   2.8310537663105E-03
  279   -3.7395781269925   -5.5262228729349E-03   2.8208428142578E-03
  280   -3.7439017314697   -5.5111423059611E-03   2.8107305734454E-03
  281   -3.7482228543975   -5.4961859175582E-03   2.8007159798880E-03
  282   -3.7525414767427   -5.4813522290655E-03   2.7907979833480E-03
  283   -3.7568575808821   -5.4666397597410E-03   2.7809755403639E-03
  284   -3.7611711487280   -5.4520470818791E-03   2.7712476225599E-03
  285   -3.7654821617243   -5.4375727705819E-03   2.7616132167010E-03
  286   -3.7697905998406   -5.4232154211428E-03   2.7520713285826E-03
  287   -3.7740964473014   -5.4089736581711E-03   2.7426209578711E-03
  288   -3.7783996840187   -5.3948461209290E-03   2.7332611351680E-03
  289   -3.7827002939768   -5.3808314583379E-03   2.7239908860401E-03
  290   -3.7869982557679   -5.3669283665170E-03   2.7148092706002E-03
  291   -3.7912935538726   -5.3531355308307E-03   2.7057153360417E-03
  292   -3.7955861697532   -5.3394516687445E-03   2.6967081538506E-03
  293   -3.7998760851726   -5.3258755096713E-03   2.6877868057674E-03
  294   -3.8041632824528   -5.3124058093236E-03   2.6789503822972E-03
  295   -3.8084477439312   -5.2990413440785E-03   2.6701979853271E-03
  296   -3.8127294515811   -5.2857808874903E-03   2.6615287290670E-03
  297   -3.8170083869496   -5.2726232562873E-03   2.6529417402428E-03
  298   -3.8212845334551   -5.2595672580303E-03   2.6444361490408E-03
  299   -3.8255578738601   -5.2466117358470E-03   2.6360110978067E-03
  300   -3.8298283893524   -5.2337555512232E-03   2.6276657471473E-03
  301   -3.8340960634729   -5.2209975659168E-03   2.6193992573674E-03
  302   -3.8383608779687   -5.2083366556598E-03   2.6112108065496E-03
  303   -3.8426228167620   -5.1957717347805E-03   2.6030995736238E-03
  304   -3.8468818609597   -5.1833017197930E-03   2.5950647592168E-03
  305   -3.8511379945863   -5.1709255208638E-03   2.5871055618598E-03
  306   -3.8553912011013   -5.1586421098657E-03   2.5792211912304E-03
  307   -3.8596414624093   -5.1464504163605E-03   2.5714108737692E-03
  308   -3.8638887621497   -5.1343494388840E-03   2.5636738376593E-03
  309   -3.8681330819891   -5.1223381619996E-03   2.5560093281004E-03
  310   -3.8723744064638   -5.1104155795602E-03   2.5484165883058E-03
  311   -3.8766127190252   -5.0985806978895E-03   2.5408948750671E-03
  312   -3.8808480024596   -5.0868325684557E-03   2.5334434557363E-03
  313   -3.8850802395985   -5.0751702208209E-03   2.5260616068527E-03
  314   -3.8893094153404   -5.0635926983151E-03   2.5187486057025E-03
  315   -3.8935355125761   -5.0520990798387E-03   2.5115037455674E-03
  316   -3.8977585146178   -5.0406884490745E-03   2.5043263259571E-03
  317   -3.9019784053993   -5.0293598827903E-03   2.4972156537334E-03
  318   -3.9061951689422   -5.0181124888209E-03   2.4901710421709E-03
  319   -3.9104087885551   -5.0069453964027E-03   2.4831918163258E-03
  320   -3.9146192488099   -4.9958577168853E-03   2.4762773040269E-03
  321   -3.9188265336794   -4.9848485995446E-03   2.4694268427705E-03
  322   -3.9230306269715   -4.9739171815308E-03   2.4626397797184E-03
  323   -3.9272315139723   -4.9630626331939E-03   2.4559154632571E-03
  324   -3.9314291764037   -4.9522841269471E-03   2.4492532627297E-03
  325   -3.9356236013469   -4.9415808550303E-03   2.4426525351401E-03
  326   -3.9398147733056   -4.9309519931778E-03   2.4361126546385E-03
  327   -3.9440026733806   -4.9203967538635E-03   2.4296330152512E-03
  328   -3.9481872893697   -4.9099143437008E-03   2.4232129934860E-03
  329   -3.9523686062867   -4.8995039983010E-03   2.4168519827664E-03
  330   -3.9565466065357   -4.8891649554803E-03   2.4105493938553E-03
  331   -3.9607212775366   -4.8788964414985E-03   2.4043046256867E-03
  332   -3.9648926013197   -4.8686977377832E-03   2.3981171038733E-03
  333   -3.9690605647562   -4.8585680845897E-03   2.3919862429453E-03
  334   -3.9732251553071   -4.8485067565370E-03   2.3859114628561E-03
  335   -3.9773863538718   -4.8385130506525E-03   2.3798922129826E-03
  336   -3.9815441461231   -4.8285862572574E-03   2.3739279321429E-03
  337   -3.9856985205140   -4.8187256695893E-03   2.3680180559479E-03
  338   -3.9898494617579   -4.8089305889054E-03   2.3621620396113E-03
